id,first_name,last_name,full_name,country,wealthy_parents,parent_on_wiki
389532,Saketh,Myneni,Saketh Myneni,India,False,False
320910,Daniel,Masur,Daniel Masur,Germany,False,False
262488,Zhe,Li,Zhe Li,China,False,False
566922,Benjamin,Bonzi,Benjamin Bonzi,France,False,False
144030,Matteo,Viola,Matteo Viola,Italy,False,False
286746,Maverick,Banes,Maverick Banes,Australia,False,False
271584,Dennis,Novikov,Dennis Novikov,USA,False,False
381864,Thai,Kwiatkowski,Thai Kwiatkowski,USA,False,
329430,Evgeny,Karlovskiy,Evgeny Karlovskiy,Russia,False,False
495486,Kaichi,Uchida,Kaichi Uchida,Japan,False,False
314346,Scott,Griekspoor,Scott Griekspoor,Netherlands,False,False
486546,Johan,Tatlot,Johan Tatlot,France,False,False
350238,Mathias,Bourgue,Mathias Bourgue,France,,False
1160580,Fernandez,Hernandez,Fernandez Hernandez,Dominican Republic,False,
428028,Martinez,Vilella,Martinez Vilella,Spain,False,
472770,Lucas,Miedler,Lucas Miedler,Austria,False,False
651402,Miralles,Zapata,Miralles Zapata,Spain,False,
443934,Pedro,Cachin,Pedro Cachin,Argentina,False,False
597534,Yunseong,Chung,Yunseong Chung,South Korea,False,False
814728,Elliot,Benchetrit,Elliot Benchetrit,Morocco,False,False
747960,Max,Purcell,Max Purcell,Australia,False,False
214938,Laurynas,Grigelis,Laurynas Grigelis,Lithuania,False,False
346566,Goncalo,Oliveira,Goncalo Oliveira,Portugal,False,False
102108,Tsung,Yang,Tsung Yang,Chinese Taipei,False,
327450,Federico,Coria,Federico Coria,Argentina,False,True
141600,Roberto,Marcora,Roberto Marcora,Italy,False,False
307122,Danilo,Petrovic,Danilo Petrovic,Serbia,False,False
283788,Olmedo,Ortega,Olmedo Ortega,Spain,False,
651366,Carlos,Taberner,Carlos Taberner,Spain,False,False
633654,Jan,Choinski,Jan Choinski,United Kingdom,False,False
86562,Jurgen,Melzer,Jurgen Melzer,Austria,False,False
1262886,Jeffrey,Wolf,Jeffrey Wolf,USA,True,
707208,Sasikumar,Mukund,Sasikumar Mukund,India,False,False
499590,Akira,Santillan,Akira Santillan,Australia,False,False
246288,Tomislav,Brkic,Tomislav Brkic,Bosnia & Herzegovina,False,False
484362,Collin,Altamirano,Collin Altamirano,USA,False,False
319290,Kevin,King,Kevin King,USA,False,False
347322,Alexander,Sarkissian,Alexander Sarkissian,USA,False,False
526860,Mikael,Torpegaard,Mikael Torpegaard,Denmark,False,False
251280,Ante,Pavic,Ante Pavic,,False,False
286596,Liam,Broady,Liam Broady,United Kingdom,False,False
271560,Loore,De,Loore De,Belgium,False,
286614,Tristan,Lamasine,Tristan Lamasine,France,False,False
143406,Evan,King,Evan King,USA,False,False
826872,Ulises,Blanch,Ulises Blanch,USA,False,False
262578,Andrea,Collarini,Andrea Collarini,Argentina,False,False
92814,Aldin,Setkic,Aldin Setkic,Bosnia & Herzegovina,False,False
217800,Steven,Diez,Steven Diez,Canada,False,False
229680,Martin,Cuevas,Martin Cuevas,Uruguay,False,False
1165128,Yibing,Wu,Yibing Wu,China,False,False
99720,Victor,Estrella Burgos,Victor Estrella Burgos,Dominican Republic,False,
431712,Sebastian,Fanselow,Sebastian Fanselow,Germany,False,
334734,Renzo,Olivo,Renzo Olivo,Argentina,False,False
90600,Steve,Darcis,Steve Darcis,Belgium,False,False
1197978,Mate,Valkusz,Mate Valkusz,Hungary,False,False
338178,Jelle,Sels,Jelle Sels,Netherlands,,False
101844,Herrera,Gomez,Herrera Gomez,Spain,False,
98958,Vincent,Millot,Vincent Millot,France,False,False
308418,Evan,Song,Evan Song,USA,False,
1219560,Pavel,Kotov,Pavel Kotov,Russia,False,False
305094,Denis,Yevseyev,Denis Yevseyev,Kazakhstan,False,False
138348,Di,Wu,Di Wu,China,False,False
364140,Vaclav,Safranek,Vaclav Safranek,Czech Republic,False,False
290796,Tak Khunn,Wang,Tak Khunn Wang,France,False,
403836,Dragos,Dima,Dragos Dima,Romania,False,False
797016,Vera,Barrios,Vera Barrios,Chile,False,
337782,Lara,Ojeda,Lara Ojeda,Spain,False,
398916,Silva,Ferreira,Silva Ferreira,Portugal,False,
277566,Maximilian,Neuchrist,Maximilian Neuchrist,Austria,False,False
88404,Frank,Dancevic,Frank Dancevic,Canada,False,False
157230,Emilio,Gomez,Emilio Gomez,Ecuador,True,False
749592,Roman,Safiullin,Roman Safiullin,Russia,False,False
1201578,Roy,Smith,Roy Smith,USA,False,False
306066,Dimitar,Kuzmanov,Dimitar Kuzmanov,Bulgaria,False,False
102288,Rubin,Statham,Rubin Statham,New Zealand,False,False
481278,Bradley,Mousley,Bradley Mousley,Australia,False,False
462054,Stefan,Kozlov,Stefan Kozlov,USA,True,False
97962,Alejandro,Gonzalez,Alejandro Gonzalez,Colombia,False,False
561594,Andrea,Pellegrino,Andrea Pellegrino,Italy,False,False
749508,Borna,Gojo,Borna Gojo,Croatia,False,False
91686,David,Guez,David Guez,France,False,False
226830,Purkiss,Boluda,Purkiss Boluda,Spain,False,
934116,Renta,Tokuda,Renta Tokuda,Japan,False,
269778,Miljan,Zekic,Miljan Zekic,Serbia,False,False
533964,Alexandre,Muller,Alexandre Muller,France,False,False
433500,Juan,Varillas,Juan Varillas,Peru,False,
374940,Andrew,Harris,Andrew Harris,Australia,False,False
1065876,Yusuke,Takahashi,Yusuke Takahashi,Japan,False,False
205602,Dayne,Kelly,Dayne Kelly,Australia,False,False
789408,Sumit,Nagal,Sumit Nagal,India,False,False
313770,Tim,Puetz,Tim Puetz,Germany,False,False
870792,Alex,Molcan,Alex Molcan,Slovakia,False,False
144066,Sergey,Betov,Sergey Betov,Belarus,False,False
714852,Blake,Ellis,Blake Ellis,Australia,False,False
352290,Michael,Redlicki,Michael Redlicki,USA,False,False
297990,Antoine,Escoffier,Antoine Escoffier,France,False,False
888564,Zihao,Xia,Zihao Xia,China,False,
444594,Jared,Hiltzik,Jared Hiltzik,USA,False,
101478,Franko,Škugor,Franko Škugor,Croatia,False,False
1097814,Makoto,Ochi,Makoto Ochi,Japan,False,
238284,Luke,Saville,Luke Saville,Australia,False,False
454890,Zhizhen,Zhang,Zhizhen Zhang,China,False,False
870684,Marc,Huesler,Marc Huesler,Switzerland,False,
607350,Ryan,Shane,Ryan Shane,USA,False,False
154110,Yan,Bai,Yan Bai,China,False,False
97200,Gonzalo,Escobar,Gonzalo Escobar,Ecuador,False,False
747948,Aleksandar,Vukic,Aleksandar Vukic,Australia,False,False
983988,Tung,Wu,Tung Wu,Chinese Taipei,False,
252918,Ji,Nam,Ji Nam,South Korea,False,
337746,Andrea,Basso,Andrea Basso,Italy,False,False
652614,Benjamin,Hassan,Benjamin Hassan,Lebanon,False,False
1234782,Zsombor,Piros,Zsombor Piros,Hungary,False,False
763260,Daniel,Altmaier,Daniel Altmaier,Germany,False,False
577446,Viktor,Durasovic,Viktor Durasovic,Norway,False,False
307812,Jan,Satral,Jan Satral,Czech Republic,False,False
644154,Hugo,Grenier,Hugo Grenier,France,False,False
89400,Harri,Heliovaara,Harri Heliovaara,Finland,False,False
639366,Sadio,Doumbia,Sadio Doumbia,France,False,False
393468,Pedro,Sakamoto,Pedro Sakamoto,Brazil,False,False
632262,Petros,Chrysochos,Petros Chrysochos,Cyprus,False,False
305418,Dmitry,Popko,Dmitry Popko,Kazakhstan,False,False
88950,Teimuraz,Gabashvili,Teimuraz Gabashvili,Russia,False,False
490074,Johannes,Haerteis,Johannes Haerteis,Germany,False,False
141288,Jeremy,Jahn,Jeremy Jahn,Germany,False,
91638,Daniel,Muñoz de la Nava,Daniel Muñoz de la Nava,Spain,False,
1272912,Alen,Avidzba,Alen Avidzba,Russia,False,False
306612,Batalla,Roca,Batalla Roca,Spain,False,
894612,Khumoyun,Sultanov,Khumoyun Sultanov,Uzbekistan,False,False
458178,Arjun,Kadhe,Arjun Kadhe,India,False,False
1123428,Alexis,Galarneau,Alexis Galarneau,Canada,False,False
344226,Andrew,Whittington,Andrew Whittington,Australia,False,False
448422,Tom,Jomby,Tom Jomby,France,False,
729648,Joao,Menezes,Joao Menezes,Brazil,False,False
326310,Alessandro,Bega,Alessandro Bega,Italy,False,False
97164,Illya,Marchenko,Illya Marchenko,Ukraine,False,True
312810,Julian,Lenz,Julian Lenz,Germany,False,False
98172,Brydan,Klein,Brydan Klein,United Kingdom,False,False
476586,Harry,Bourchier,Harry Bourchier,Australia,False,False
142554,Gerard,Granollers,Gerard Granollers,Spain,False,False
141300,Guillermo,Olaso,Guillermo Olaso,Spain,False,False
313728,Shuichi,Sekiguchi,Shuichi Sekiguchi,Japan,False,
459102,Ivan,Gakhov,Ivan Gakhov,Russia,True,False
313476,N,Balaji,N Balaji,India,False,
252996,Sekou,Bangoura,Sekou Bangoura,USA,False,False
96750,João,Souza,João Souza,Brazil,False,False
660666,Youssef,Hossam,Youssef Hossam,Egypt,False,False
1004232,Emil,Ruusuvuori,Emil Ruusuvuori,Finland,False,False
476826,Jacob,Grills,Jacob Grills,Australia,False,
921876,João,Monteiro,João Monteiro,Portugal,False,False
1225998,Chien-Hsun,Lo,Chien-Hsun Lo,Chinese Taipei,False,
149070,Alexander,Ward,Alexander Ward,United Kingdom,False,False
939996,Rigele,Te,Rigele Te,China,False,False
319860,Ivan,Nedelko,Ivan Nedelko,Russia,False,False
97170,Andreas,Haider-Maurer,Andreas Haider-Maurer,Austria,False,False
614478,Rijthoven,Van,Rijthoven Van,Netherlands,False,
381648,Arthur,Rinderknech,Arthur Rinderknech,France,False,False
271548,Jordi,Samper-Montaña,Jordi Samper-Montaña,Spain,False,False
287814,Tobias,Simon,Tobias Simon,Germany,False,False
341946,Martinavarro,Artunedo,Martinavarro Artunedo,Spain,False,
1025688,Zizou,Bergs,Zizou Bergs,Belgium,False,False
267834,Cristian,Rodriguez,Cristian Rodriguez,Colombia,False,False
486258,Hoang,Ly,Hoang Ly,Vietnam,False,
96408,Igor,Sijsling,Igor Sijsling,Netherlands,False,False
261828,Markus,Eriksson,Markus Eriksson,Sweden,False,False
659718,Liam,Caruana,Liam Caruana,Italy,False,False
1127364,Evan,Furness,Evan Furness,France,False,False
758424,Corentin,Denolly,Corentin Denolly,France,False,False
354798,Lloyd,Glasspool,Lloyd Glasspool,United Kingdom,False,False
1066128,Cosano,Barranco,Cosano Barranco,Spain,False,
1211094,Raul,Brancaccio,Raul Brancaccio,Italy,False,True
320898,Marvin,Netuschil,Marvin Netuschil,Germany,False,
287808,Albano,Olivetti,Albano Olivetti,France,False,False
279738,Takanyi,Garanganga,Takanyi Garanganga,Zimbabwe,False,False
359916,Wishaya,Trongcharoenchaikul,Wishaya Trongcharoenchaikul,Thailand,False,False
636930,Valle,Dalla,Valle Dalla,Italy,False,
629814,Gijs,Brouwer,Gijs Brouwer,Netherlands,False,False
313224,Hugo,Nys,Hugo Nys,Monaco,False,False
363024,Aslan,Karatsev,Aslan Karatsev,Russia,False,False
419724,Martin,Redlicki,Martin Redlicki,USA,False,False
328410,Riccardo,Bonadio,Riccardo Bonadio,Italy,False,False
93300,Máximo,Gonzalez,Máximo Gonzalez,Argentina,False,
807672,William,Blumberg,William Blumberg,USA,False,False
95124,Lamine,Ouahab,Lamine Ouahab,Morocco,False,False
393660,Sidharth,Rawat,Sidharth Rawat,India,False,
151146,Austin,Krajicek,Austin Krajicek,USA,False,True
403596,Fabrizio,Ornago,Fabrizio Ornago,Italy,False,
1231890,Alafia,Ayeni,Alafia Ayeni,USA,False,
1268028,Harrison,Adams,Harrison Adams,USA,False,False
329862,Hernan,Casanova,Hernan Casanova,Argentina,False,False
638106,Fabien,Reboul,Fabien Reboul,France,False,False
